ICD10;AirP;AQHI;SH;CO;SC;O3;SO;PM2.5;SP;AQHIX;SI;NO2;SN;O3H8;S8;SO2;SS;LAG
I00-I99;All: LAG 0;0.01408002;0.003242585;0.07232782;0.02913675;-0.000566812;0.0003922;0.000899078;0.00040964;0.01029776;0.002206932;0.002209115;0.000382766;0.000156047;0.000255662;0.000843695;0.002012602;0
I00-I99;Female;0.010754308;0.004110882;0.03282283;0.0369499;-0.000594834;0.000494906;0.0004477;0.000519124;0.008122517;0.002799083;0.00190393;0.000485507;-5.37E-05;0.000323486;-0.000667641;0.00255199;0
I00-I99;Male;0.01719739;0.004157302;0.10930492;0.03733262;-0.000540333;0.000504229;0.001321739;0.000524643;0.01233207;0.002829063;0.002494991;0.000491148;0.000352582;0.000327788;0.002247813;0.002574532;0
I00-I99;Warm All;0.012021702;0.003091259;0.1555043;0.0377124;0.000177689;0.000362357;0.000553841;0.000440768;0.009079926;0.002094625;0.002587708;0.0004558;0.000347296;0.000206289;0.004767906;0.002439336;0
I00-I99;Warm Female;0.007068374;0.003959018;0.068012;0.04846117;0.000375953;0.000461789;-0.000300644;0.00056478;0.005419466;0.00268523;0.001635811;0.000585541;0.000164289;0.00026368;0.002300076;0.003128506;0
I00-I99;Warm Male;0.01666054;0.00398159;0.2370082;0.04855535;-9.75E-06;0.000468373;0.00134878;0.000566499;0.01249779;0.002695896;0.003473277;0.000586068;0.000519122;0.000265918;0.007069277;0.003134599;0
I00-I99;Cold All;0.01718897;0.003444813;0.03881426;0.02454986;-0.001795597;0.000436154;0.001198787;0.000387189;0.01261285;0.002362415;0.00208826;0.000336926;-0.000481435;0.00038679;-0.000984252;0.001750361;0
I00-I99;Cold Female;0.015915348;0.004320476;0.01969136;0.03074334;-0.002120081;0.000545028;0.001003188;0.000484815;0.01237253;0.00296279;0.002152312;0.000422376;-0.000805399;0.000484181;-0.002139344;0.002195312;0
I00-I99;Cold Male;0.01840601;0.004400917;0.05687762;0.03131671;-0.001486944;0.000558669;0.001385153;0.000494698;0.012853757;0.00301942;0.002029079;0.000431173;-0.000172575;0.000493931;8.91E-05;0.002229805;0
I00-I99;Age 0-10 All;0.06421173;0.03110786;0.04258426;0.28302283;-0.000497445;0.003644539;0.008841772;0.003954389;0.03971446;0.02116372;0.00639093;0.003616301;0.00274409;0.002461754;0.02176422;0.01975758;0
I00-I99;Age 0-10 Female;0.06331767;0.0432755;0.1772924;0.3812457;-0.003737761;0.0052002;0.010208951;0.005482011;0.04935405;0.02924342;0.007288775;0.004947867;0.004176242;0.003491152;0.01731775;0.02730523;0
I00-I99;Age 0-10 Male;0.06631338;0.0376643;-0.04865688;0.34924368;0.001521;0.004344743;0.008058127;0.004794507;0.03418981;0.02573492;0.005914073;0.004425233;0.00192935;0.002946153;0.02528932;0.02398708;0
I00-I99;Age 11-60 All;0.017632617;0.005002794;0.05638424;0.04522008;-7.15E-05;0.000605357;0.000827519;0.000633188;0.012890685;0.003404258;0.002543233;0.000592018;0.000447226;0.000393084;-0.001636925;0.003097552;0
I00-I99;Age 11-60 Female;0.011456116;0.007039512;-0.01764407;0.06383034;0.000467858;0.000845822;-0.000490792;0.000892414;0.009244009;0.004789733;0.001864381;0.000835776;0.00029649;0.000549987;-0.007086526;0.004385192;0
I00-I99;Age 11-60 Male;0.022307493;0.006197599;0.11160189;0.05586605;-0.000488546;0.000753245;0.001821642;0.000782372;0.015646857;0.004218361;0.003051197;0.000731843;0.000562354;0.000488721;0.002403051;0.003815192;0
I00-I99;Age 60+All;0.01164039;0.003679281;0.08114231;0.032919;-0.000835671;0.000444246;0.000858158;0.000463758;0.00858854;0.002504759;0.001984438;0.000434164;-2.94E-05;0.000290139;0.002005618;0.002281865;0
I00-I99;Age 60+ Female;0.009998074;0.004705817;0.05381979;0.04210592;-0.001054866;0.000566591;0.000793522;0.000592793;0.007267084;0.003205841;0.001873319;0.000554888;-0.00024795;0.000371238;0.00209198;0.002914335;0
I00-I99;Age 60+ Male;0.013358656;0.00501936;0.10978153;0.0449303;-0.000600473;0.000607311;0.000924048;0.000632598;0.009969605;0.003415186;0.002099643;0.000593494;0.000200382;0.000395126;0.001895757;0.003114308;0
I00-I99;All: LAG 1;0.010947955;0.003260741;0.02924932;0.02912171;0.000219031;0.000393336;0.000985393;0.000408392;0.007113226;0.002222267;0.001183674;0.000386377;0.000489425;0.000257185;0.004983942;0.002020077;1
I00-I99;Female;0.010580297;0.004125101;0.001659665;0.036783193;0.000677824;0.000496942;0.000837385;0.00051674;0.006290997;0.002811146;0.000923799;0.00048904;0.000570562;0.000324823;0.004480832;0.002561714;1
